Nom de l'instance ; att48
Nb de ville (avec (0, 0)) ; 49
Type ; TSP
Point ; Abs ; Ord
     0 ;      0;      0
     1 ;   6734;   1453
     2 ;   2233;     10
     3 ;   5530;   1424
     4 ;    401;    841
     5 ;   3082;   1644
     6 ;   7608;   4458
     7 ;   7573;   3716
     8 ;   7265;   1268
     9 ;   6898;   1885
    10 ;   1112;   2049
    11 ;   5468;   2606
    12 ;   5989;   2873
    13 ;   4706;   2674
    14 ;   4612;   2035
    15 ;   6347;   2683
    16 ;   6107;    669
    17 ;   7611;   5184
    18 ;   7462;   3590
    19 ;   7732;   4723
    20 ;   5900;   3561
    21 ;   4483;   3369
    22 ;   6101;   1110
    23 ;   5199;   2182
    24 ;   1633;   2809
    25 ;   4307;   2322
    26 ;    675;   1006
    27 ;   7555;   4819
    28 ;   7541;   3981
    29 ;   3177;    756
    30 ;   7352;   4506
    31 ;   7545;   2801
    32 ;   3245;   3305
    33 ;   6426;   3173
    34 ;   4608;   1198
    35 ;     23;   2216
    36 ;   7248;   3779
    37 ;   7762;   4595
    38 ;   7392;   2244
    39 ;   3484;   2829
    40 ;   6271;   2135
    41 ;   4985;    140
    42 ;   1916;   1569
    43 ;   7280;   4899
    44 ;   7509;   3239
    45 ;     10;   2676
    46 ;   6807;   2993
    47 ;   5185;   3258
    48 ;   3023;   1942
Méthode ; Longeur ; Temps CPU (sec) ; Tour
nearest-neighbour ; 45875.85 ; 0.00 ; [0, 4, 26, 10, 24, 42, 48, 5, 29, 2, 34, 14, 25, 13, 23, 11, 12, 15, 33, 46, 44, 18, 7, 28, 36, 30, 6, 37, 19, 27, 43, 17, 20, 47, 21, 39, 32, 3, 22, 16, 1, 9, 38, 31, 40, 8, 41, 35, 45]
randomwalk ; 175119.28 ; 0.00 ; [0, 36, 1, 48, 3, 40, 47, 34, 41, 30, 16, 35, 5, 22, 15, 25, 6, 24, 29, 17, 2, 45, 21, 18, 44, 4, 32, 14, 42, 9, 20, 27, 39, 19, 23, 38, 28, 33, 11, 46, 8, 10, 13, 37, 12, 31, 7, 26, 43]
genetic-algorithm ; 40765.12 ; 0.00 ; [0, 4, 26, 29, 5, 48, 42, 24, 10, 35, 45, 32, 39, 21, 47, 13, 25, 14, 23, 11, 12, 20, 43, 17, 27, 19, 37, 6, 30, 36, 28, 7, 18, 44, 46, 33, 15, 40, 1, 9, 38, 31, 8, 16, 22, 3, 34, 41, 2]
randomwalk (2opt) ; 69807.20 ; 0.00 ; [0, 2, 41, 16, 8, 38, 9, 1, 22, 29, 34, 3, 40, 23, 14, 25, 13, 47, 20, 39, 21, 30, 11, 15, 12, 33, 46, 31, 7, 44, 18, 36, 28, 6, 37, 19, 27, 43, 24, 17, 45, 35, 32, 10, 48, 5, 42, 26, 4]
nearest-neighbour (2opt) ; 42084.34 ; 0.00 ; [0, 4, 26, 29, 2, 41, 16, 8, 9, 38, 31, 40, 1, 22, 3, 25, 13, 23, 11, 12, 15, 33, 46, 44, 18, 7, 28, 36, 30, 6, 37, 19, 27, 17, 43, 20, 47, 21, 32, 39, 14, 34, 5, 48, 42, 24, 10, 35, 45]
